"p" "s1" "s2" "Jabd" "Labd"
4 2 19 0.529100529100529 0.692041522491349
4 2 20 0.405308944902967 0.576825396825397
4 2 21 0.248868778280543 0.398550724637681
4 2 22 0.80952380952381 0.894736842105263
4 2 23 0.817460317460317 0.899563318777293
4 2 24 0.114285714285714 0.205128205128205
4 2 25 0.29591508523641 0.45668900471581
4 2 26 0.997354497354497 0.998675496688742
4 2 27 0.275758043635759 0.432304612949774
4 2 28 0.882034632034632 0.937320299022427
4 2 29 0.0252908162547649 0.0493339369743864
4 2 30 0.0252908162547649 0.0493339369743864
4 2 31 0.0271412456013335 0.0528481272026883
4 2 32 0.037539355776217 0.0723622782446312
4 2 33 0.0252908162547649 0.0493339369743864
4 2 34 0.0784484258131849 0.145483870967742
4 2 35 0 0
4 2 36 0 0
4 2 37 0 0
4 2 38 0 0
4 2 39 0 0
4 2 40 0.0450960875890054 0.0863003663003663
4 2 41 0 0
4 2 42 0 0
4 2 43 0 0
4 2 44 0.0339498079622403 0.0656701277002029
4 2 45 0 0
4 2 46 0 0
4 2 47 0.0355636350800402 0.0686845962436514
4 2 48 0 0
4 2 49 0 0
4 2 50 0 0
4 2 51 0.0557065217391304 0.105534105534106
4 2 52 0.0355636350800402 0.0686845962436514
4 2 53 0 0
4 2 54 0 0
4 2 55 0 0
4 2 56 0 0
4 2 57 0 0
4 2 58 0 0
4 2 59 0.123809523809524 0.220338983050847
4 2 60 0 0
4 2 61 0 0
4 2 62 0 0
4 2 63 0.0769230769230769 0.142857142857143
4 2 64 0.0476190476190476 0.0909090909090909
4 2 65 0.619047619047619 0.764705882352941
4 2 66 0.141097627241442 0.247301587301587
4 2 67 0.0582925911996991 0.110163468372424
4 2 68 0.692012556679456 0.817975675118532
4 2 69 0.225108225108225 0.367491166077739
4 2 70 0 0
4 2 71 0.619511376038956 0.765059616381545
4 2 72 0.714285714285714 0.833333333333333
4 2 73 0.365853658536585 0.535714285714286
4 2 74 0.53967260630414 0.701022547383733
4 2 75 0.344827586206897 0.512820512820513
4 2 76 1 1
4 2 77 0.416666666666667 0.588235294117647
4 2 78 0 0
4 2 79 0.0575139146567718 0.108771929824561
4 2 80 0 0
4 2 81 0.155122235157159 0.268581506676745
4 2 82 0.213250517598344 0.351535836177474
4 2 83 0.310872261264986 0.474298328602964
4 2 84 0 0
4 3 4 0 0
4 3 5 0.463659147869674 0.633561643835616
4 3 6 0.718106995884774 0.835928143712575
4 3 7 0.576296471152767 0.73120314826476
4 3 8 0.442307692307692 0.613333333333333
4 3 9 0.653846153846154 0.790697674418605
4 3 10 0.448094612352168 0.618874773139746
4 3 11 0.150943396226415 0.262295081967213
4 3 12 0.673673673673674 0.805023923444976
4 3 13 0.270210663496928 0.425458030328654
4 3 14 0.310902500232364 0.474333522404991
4 3 15 0.119581464872945 0.213618157543391
4 3 16 0.205128205128205 0.340425531914894
4 3 17 0.047087980173482 0.0899408284023669
4 3 18 0.327423793395428 0.493322170394291
4 3 19 0.453360768175583 0.623879188296366
4 3 20 0.25817895151754 0.410401002506266
4 3 21 0.183333333333333 0.309859154929577
4 3 22 0.697674418604651 0.821917808219178
4 3 23 0.551172707889126 0.710652920962199
4 3 24 0.24223602484472 0.39
4 3 25 0.440087145969499 0.611195158850227
4 3 26 0.617798353909465 0.763751987281399
4 3 27 0.466666666666667 0.636363636363636
4 3 28 0.626004833787113 0.769991356457522
4 3 29 0.0649947753396029 0.122056514913658
4 3 30 0.0649947753396029 0.122056514913658
4 3 31 0.0265712825753705 0.0517670482827277
4 3 32 0.0392951184930119 0.0756187877606704
4 3 33 0.0649947753396029 0.122056514913658
4 3 34 0.10260336906585 0.186111111111111
4 3 35 0.0441286462228871 0.0845272206303725
4 3 36 0 0
4 3 37 0 0
4 3 38 0.0929668552950687 0.170118343195266
4 3 39 0.113484646194927 0.203836930455635
4 3 40 0.152003266935886 0.263893812280909
4 3 41 0 0
4 3 42 0.15625 0.27027027027027
4 3 43 0 0
4 3 44 0.132527900307508 0.234039091260398
4 3 45 0.0535429482797904 0.101643598615917
4 3 46 0 0
4 3 47 0.0983477845292551 0.179083139083139
4 3 48 0.0599239988307512 0.113072255929399
4 3 49 0.0591715976331361 0.111731843575419
4 3 50 0.0694444444444444 0.12987012987013
4 3 51 0.0870793230739429 0.160207854616732
4 3 52 0.105401066994004 0.190701945458816
4 3 53 0 0
4 3 54 0.127272727272727 0.225806451612903
4 3 55 0 0
4 3 56 0 0
4 3 57 0.0533807829181495 0.101351351351351
4 3 58 0.0961538461538462 0.175438596491228
4 3 59 0.430243902439024 0.601637107776262
4 3 60 0.211026615969582 0.34850863422292
4 3 61 0.144356955380577 0.252293577981651
4 3 62 0.15625 0.27027027027027
4 3 63 0.310799197937554 0.474213286713287
4 3 64 0.0740740740740741 0.137931034482759
4 3 65 0.183333333333333 0.309859154929577
4 3 66 0.128754930717103 0.228136200716846
4 3 67 0.0847457627118644 0.15625
4 3 68 0.450778885449975 0.62143017102177
4 3 69 0.1998295696634 0.333096590909091
4 3 70 0.161290322580645 0.277777777777778
4 3 71 0.454739084132055 0.625183016105417
4 3 72 0.296296296296296 0.457142857142857
4 3 73 0.212389380530973 0.35036496350365
4 3 74 0.5 0.666666666666667
4 3 75 0.205128205128205 0.340425531914894
4 3 76 0.499118165784832 0.665882352941176
4 3 77 0.228571428571429 0.372093023255814
4 3 78 0.164835164835165 0.283018867924528
4 3 79 0.333333333333333 0.5
4 3 80 0.290873786407767 0.450661853188929
4 3 81 0.244969273406434 0.393534649632211
4 3 82 0.695062399717132 0.820102433790193
4 3 83 0.231111111111111 0.375451263537906
4 3 84 0.144356955380577 0.252293577981651
4 4 5 0.28125 0.439024390243902
4 4 6 0.0714285714285714 0.133333333333333
4 4 7 0.0373874561269648 0.0720800235363342
4 4 8 0.191873589164786 0.321969696969697
4 4 9 0 0
4 4 10 0.0642791551882461 0.120793787748059
4 4 11 0.128205128205128 0.227272727272727
4 4 12 0.0333940497874924 0.0646298472385429
4 4 13 0 0
4 4 14 0.140625 0.246575342465753
4 4 15 0 0
4 4 16 0 0
4 4 17 0 0
4 4 18 0 0
4 4 19 0 0
4 4 20 0.100286532951289 0.182291666666667
4 4 21 0 0
