"p" "s1" "s2" "n" "nsp1" "m" "nsp2" "nsh" "fm1" "fm2" "f1m" "f2m" "u_pt1" "v_pt1" "Junad" "Lunad" "U" "V" "Jabd" "Labd"
6 1 20 82 32 69 29 15 6 5 5 3 0.609756097560976 0.710144927536232 0.488242327620566 0.656132833422603 0.746765641569459 0.865235065394132 0.668957402759998 0.801647066190816
6 1 21 82 32 62 23 12 6 2 1 3 0.682926829268293 0.67741935483871 0.515337423312883 0.680161943319838 1 0.696007081038552 0.696007081038552 0.8207596404755
6 1 22 82 32 77 20 9 2 2 1 4 0.51219512195122 0.727272727272727 0.429667519181586 0.601073345259392 0.530250237567311 0.728876306620209 0.442893934987636 0.613896731073904
6 1 23 82 32 207 31 16 3 3 5 3 0.695121951219512 0.782608695652174 0.582623509369676 0.736275565123789 0.719394367856722 0.842258748674443 0.633978022237339 0.775993328685363
6 1 24 82 32 187 33 18 4 4 5 4 0.792682926829268 0.812834224598931 0.670330415903386 0.802632113408343 0.865462371201252 0.849150580409547 0.750131740912904 0.85722888554849
6 1 25 82 32 225 44 17 3 2 4 4 0.780487804878049 0.755555555555556 0.623138602520046 0.767819336626676 0.816910569105691 0.77970189701897 0.663717261225374 0.797872663455481
6 1 26 82 32 293 36 16 2 1 2 6 0.731707317073171 0.795221843003413 0.615696291729058 0.762143597012484 0.768167818196953 0.79746940814118 0.642770404175004 0.782544417091324
6 1 27 82 32 172 35 19 5 3 4 7 0.780487804878049 0.843023255813954 0.681451020707887 0.81055113983754 0.861315938740783 0.865995462280204 0.760020131747222 0.863649361774889
6 1 28 82 32 212 32 16 4 1 4 4 0.74390243902439 0.820754716981132 0.639937296515133 0.780441176470588 1 0.844052001840773 0.844052001840773 0.915431886951368
6 1 29 82 32 38 23 8 4 2 3 2 0.317073170731707 0.447368421052632 0.227835051546392 0.371116708648195 0.388318356867779 0.505856867779204 0.281527537965745 0.439362447743625
6 1 30 82 32 75 29 12 6 1 3 5 0.48780487804878 0.453333333333333 0.30713640469738 0.469937802349689 1 0.477040650406504 0.477040650406504 0.645941125960501
6 1 31 82 32 57 23 10 5 1 3 2 0.451219512195122 0.543859649122807 0.327340182648402 0.493227262954203 0.810654685494223 0.582851946940522 0.513011923550702 0.678133351846663
